Order_ID,Order_Date,Region,Category,Sales,Quantity,Customer_Type
1,01/01/2023 0:00,East,Clothing,1931,6,New
2,01/01/2023 1:00,West,Groceries,1731,2,New
3,01/01/2023 2:00,North,Clothing,963,4,New
4,01/01/2023 3:00,East,Groceries,3076,7,Returning
5,01/01/2023 4:00,East,Groceries,2435,6,Returning
6,01/01/2023 5:00,West,Clothing,4342,9,Returning
7,01/01/2023 6:00,North,Furniture,257,7,New
8,01/01/2023 7:00,North,Groceries,3255,1,New
9,01/01/2023 8:00,East,Clothing,3838,6,New
10,01/01/2023 9:00,South,Electronics,3821,3,New
11,01/01/2023 10:00,East,Clothing,4442,8,Returning
12,01/01/2023 11:00,East,Electronics,3672,1,New
13,01/01/2023 12:00,East,Groceries,4646,2,Returning
14,01/01/2023 13:00,East,Clothing,1730,3,New
15,01/01/2023 14:00,West,Clothing,2566,3,Returning
16,01/01/2023 15:00,North,Electronics,169,7,New
17,01/01/2023 16:00,West,Clothing,134,8,Returning
18,01/01/2023 17:00,West,Clothing,1277,9,Returning
19,01/01/2023 18:00,West,Groceries,594,7,New
20,01/01/2023 19:00,East,Clothing,1375,8,Returning
21,01/01/2023 20:00,South,Furniture,968,6,New
22,01/01/2023 21:00,North,Electronics,240,2,Returning
23,01/01/2023 22:00,South,Clothing,4556,1,New
24,01/01/2023 23:00,West,Electronics,140,3,New
25,02/01/2023 0:00,West,Electronics,3707,9,New
26,02/01/2023 1:00,South,Electronics,846,7,Returning
27,02/01/2023 2:00,South,Clothing,4570,2,Returning
28,02/01/2023 3:00,South,Clothing,4475,1,New
29,02/01/2023 4:00,West,Electronics,3304,2,Returning
30,02/01/2023 5:00,West,Furniture,3394,3,New
31,02/01/2023 6:00,North,Electronics,126,6,Returning
32,02/01/2023 7:00,North,Furniture,4926,9,New
33,02/01/2023 8:00,West,Electronics,4401,8,New
34,02/01/2023 9:00,South,Groceries,4486,9,New
35,02/01/2023 10:00,South,Electronics,3330,8,New
36,02/01/2023 11:00,North,Electronics,1789,7,New
37,02/01/2023 12:00,West,Clothing,4479,6,Returning
38,02/01/2023 13:00,North,Furniture,1528,8,Returning
39,02/01/2023 14:00,North,Groceries,2857,6,Returning
40,02/01/2023 15:00,East,Furniture,589,2,Returning
41,02/01/2023 16:00,East,Groceries,4618,9,New
42,02/01/2023 17:00,East,Electronics,790,9,New
43,02/01/2023 18:00,South,Clothing,1202,3,New
44,02/01/2023 19:00,West,Clothing,2835,9,Returning
45,02/01/2023 20:00,West,Furniture,3844,2,New
46,02/01/2023 21:00,West,Clothing,3135,3,Returning
47,02/01/2023 22:00,West,Furniture,1237,6,Returning
48,02/01/2023 23:00,East,Furniture,105,4,Returning
49,03/01/2023 0:00,South,Groceries,3810,8,New
